The load Love numbers from the REAR package are attached. There are no 
more of these oscillations at high degree, and they go up to degree 32768.
November 20, 2015，Jean-Paul
CM: center of mass reference frame
    n     h' (vert)         l' (horiz)         k' (potent)
  900  -0.5764918962D+01  0.1779503646D-02  -0.3058427193D-02
  901  -0.5766326052D+01  0.1778430295D-02  -0.3056043487D-02
  902  -0.5767735523D+01  0.1777362392D-02  -0.3053667613D-02
  903  -0.5769132816D+01  0.1776288360D-02  -0.3051287537D-02
  904  -0.5770524781D+01  0.1775213594D-02  -0.3048908907D-02
  905  -0.5771928284D+01  0.1774151513D-02  -0.3046545604D-02
  906  -0.5773310050D+01  0.1773075698D-02  -0.3044170214D-02
  907  -0.5774696384D+01  0.1772007020D-02  -0.3041804380D-02
  908  -0.5776078039D+01  0.1770938121D-02  -0.3039440482D-02
  909  -0.5777453581D+01  0.1769867868D-02  -0.3037077337D-02
  910  -0.5778815650D+01  0.1768790419D-02  -0.3034708932D-02
  911  -0.5780201928D+01  0.1767735588D-02  -0.3032366039D-02
  912  -0.5781562205D+01  0.1766663670D-02  -0.3030007625D-02
  913  -0.5782924646D+01  0.1765596905D-02  -0.3027656687D-02
  914  -0.5784278553D+01  0.1764526853D-02  -0.3025304492D-02
  915  -0.5785640716D+01  0.1763466745D-02  -0.3022964674D-02
  916  -0.5786984856D+01  0.1762395854D-02  -0.3020615883D-02
  917  -0.5788332018D+01  0.1761330747D-02  -0.3018275198D-02
  918  -0.5789671782D+01  0.1760263236D-02  -0.3015934156D-02
  919  -0.5791012392D+01  0.1759199769D-02  -0.3013599431D-02
  920  -0.5792348447D+01  0.1758136134D-02  -0.3011266613D-02
  921  -0.5793678200D+01  0.1757070934D-02  -0.3008934302D-02
  922  -0.5795004765D+01  0.1756006584D-02  -0.3006605000D-02
  923  -0.5796327558D+01  0.1754942662D-02  -0.3004278228D-02
  924  -0.5797646300D+01  0.1753878903D-02  -0.3001953751D-02
  925  -0.5798961985D+01  0.1752816113D-02  -0.2999632351D-02
  926  -0.5800274270D+01  0.1751753988D-02  -0.2997313747D-02
  927  -0.5801583685D+01  0.1750692973D-02  -0.2994998356D-02
  928  -0.5802886801D+01  0.1749630348D-02  -0.2992683411D-02
  929  -0.5804192849D+01  0.1748573293D-02  -0.2990376291D-02
  930  -0.5805484608D+01  0.1747508441D-02  -0.2988063202D-02
  931  -0.5806779037D+01  0.1746448957D-02  -0.2985757729D-02
  932  -0.5808067831D+01  0.1745388384D-02  -0.2983453210D-02
  933  -0.5809352213D+01  0.1744327641D-02  -0.2981150608D-02
  934  -0.5810629090D+01  0.1743264330D-02  -0.2978847462D-02
  935  -0.5811914324D+01  0.1742210794D-02  -0.2976556363D-02
  936  -0.5813189208D+01  0.1741152475D-02  -0.2974262433D-02
  937  -0.5814461627D+01  0.1740095486D-02  -0.2971971925D-02
  938  -0.5815727911D+01  0.1739036982D-02  -0.2969681925D-02
  939  -0.5816899417D+01  0.1737908568D-02  -0.2967322272D-02
  940  -0.5818257243D+01  0.1736927144D-02  -0.2965115411D-02
  941  -0.5819507748D+01  0.1735866103D-02  -0.2962828972D-02
  942  -0.5820763409D+01  0.1734812249D-02  -0.2960551914D-02
  943  -0.5822009728D+01  0.1733754393D-02  -0.2958272806D-02
  944  -0.5823264723D+01  0.1732706412D-02  -0.2956005807D-02
  945  -0.5824499663D+01  0.1731646144D-02  -0.2953728318D-02
  946  -0.5825739498D+01  0.1730592841D-02  -0.2951459949D-02
  947  -0.5826972062D+01  0.1729537093D-02  -0.2949191124D-02
  948  -0.5828236505D+01  0.1728509080D-02  -0.2946952474D-02
  949  -0.5829435724D+01  0.1727433962D-02  -0.2944668040D-02
  950  -0.5830654851D+01  0.1726377334D-02  -0.2942404394D-02
  951  -0.5831877656D+01  0.1725326691D-02  -0.2940148820D-02
  952  -0.5833095386D+01  0.1724275289D-02  -0.2937894482D-02
  953  -0.5834307771D+01  0.1723222887D-02  -0.2935641158D-02
  954  -0.5835518780D+01  0.1722172565D-02  -0.2933391924D-02
  955  -0.5836725726D+01  0.1721122233D-02  -0.2931144686D-02
  956  -0.5837929037D+01  0.1720072230D-02  -0.2928899767D-02
  957  -0.5839128372D+01  0.1719022266D-02  -0.2926656888D-02
  958  -0.5840300288D+01  0.1717954405D-02  -0.2924397922D-02
  959  -0.5841518529D+01  0.1716925086D-02  -0.2922179881D-02
  960  -0.5842706518D+01  0.1715875700D-02  -0.2919943540D-02
  961  -0.5843895082D+01  0.1714830350D-02  -0.2917712631D-02
  962  -0.5845075854D+01  0.1713781608D-02  -0.2915480862D-02
  963  -0.5846254749D+01  0.1712734492D-02  -0.2913252707D-02
  964  -0.5847432636D+01  0.1711689658D-02  -0.2911028814D-02
  965  -0.5848603802D+01  0.1710642731D-02  -0.2908804782D-02
  966  -0.5849773472D+01  0.1709597718D-02  -0.2906584624D-02
  967  -0.5850938131D+01  0.1708551907D-02  -0.2904365627D-02
  968  -0.5852095025D+01  0.1707503199D-02  -0.2902145686D-02
  969  -0.5853263249D+01  0.1706466140D-02  -0.2899939386D-02
  970  -0.5854414571D+01  0.1705419240D-02  -0.2897725139D-02
  971  -0.5855567046D+01  0.1704376199D-02  -0.2895516734D-02
  972  -0.5856712896D+01  0.1703331140D-02  -0.2893308224D-02
  973  -0.5857850935D+01  0.1702283133D-02  -0.2891098717D-02
  974  -0.5859006352D+01  0.1701251290D-02  -0.2888907335D-02
  975  -0.5860140791D+01  0.1700206517D-02  -0.2886704928D-02
  976  -0.5861273824D+01  0.1699163643D-02  -0.2884506352D-02
  977  -0.5862402438D+01  0.1698120383D-02  -0.2882309322D-02
  978  -0.5863538512D+01  0.1697085727D-02  -0.2880122816D-02
  979  -0.5864658690D+01  0.1696041994D-02  -0.2877929147D-02
  980  -0.5865780982D+01  0.1695002804D-02  -0.2875741931D-02
  981  -0.5866900490D+01  0.1693964441D-02  -0.2873557458D-02
  982  -0.5868013992D+01  0.1692924468D-02  -0.2871373290D-02
  983  -0.5869127706D+01  0.1691887582D-02  -0.2869194098D-02
  984  -0.5870236210D+01  0.1690849677D-02  -0.2867015797D-02
  985  -0.5871340900D+01  0.1689811807D-02  -0.2864839426D-02
  986  -0.5872443380D+01  0.1688775180D-02  -0.2862666184D-02
  987  -0.5873538268D+01  0.1687735728D-02  -0.2860492027D-02
  988  -0.5874640199D+01  0.1686704459D-02  -0.2858327910D-02
  989  -0.5875729814D+01  0.1685666818D-02  -0.2856159326D-02
  990  -0.5876820133D+01  0.1684632571D-02  -0.2853996009D-02
  991  -0.5877904424D+01  0.1683596680D-02  -0.2851832927D-02
  992  -0.5878988582D+01  0.1682563535D-02  -0.2849674468D-02
  993  -0.5880069475D+01  0.1681530809D-02  -0.2847518278D-02
  994  -0.5881145580D+01  0.1680497344D-02  -0.2845363222D-02
  995  -0.5882217448D+01  0.1679463538D-02  -0.2843209706D-02
  996  -0.5883287701D+01  0.1678431366D-02  -0.2841059668D-02
  997  -0.5884352167D+01  0.1677397688D-02  -0.2838910005D-02
  998  -0.5885422236D+01  0.1676371031D-02  -0.2836769145D-02
  999  -0.5886481017D+01  0.1675338757D-02  -0.2834624540D-02
 1000  -0.5887537413D+01  0.1674307506D-02  -0.2832482828D-02
 1001  -0.5888589535D+01  0.1673275880D-02  -0.2830342590D-02
 1002  -0.5889639362D+01  0.1672245337D-02  -0.2828205275D-02
 1003  -0.5890688325D+01  0.1671216947D-02  -0.2826071920D-02
 1004  -0.5891734954D+01  0.1670189596D-02  -0.2823941434D-02
 1005  -0.5892776225D+01  0.1669161042D-02  -0.2821811590D-02
 1006  -0.5893813888D+01  0.1668132572D-02  -0.2819683664D-02
 1007  -0.5894846029D+01  0.1667102746D-02  -0.2817556245D-02
 1008  -0.5895883254D+01  0.1666079479D-02  -0.2815437106D-02
 1009  -0.5896912284D+01  0.1665052883D-02  -0.2813316498D-02
 1010  -0.5897939890D+01  0.1664027972D-02  -0.2811199378D-02
 1011  -0.5898961395D+01  0.1663001267D-02  -0.2809082308D-02
 1012  -0.5899984021D+01  0.1661978142D-02  -0.2806970568D-02
 1013  -0.5901000841D+01  0.1660953450D-02  -0.2804859091D-02
 1014  -0.5902013856D+01  0.1659928656D-02  -0.2802749325D-02
 1015  -0.5903025875D+01  0.1658905840D-02  -0.2800643308D-02
 1016  -0.5904032208D+01  0.1657881546D-02  -0.2798537629D-02
 1017  -0.5905042161D+01  0.1656862606D-02  -0.2796439031D-02
 1018  -0.5906040583D+01  0.1655837874D-02  -0.2794336512D-02
 1019  -0.5907040948D+01  0.1654817261D-02  -0.2792239835D-02
 1020  -0.5908035492D+01  0.1653795049D-02  -0.2790143372D-02
 1021  -0.5909048004D+01  0.1652788720D-02  -0.2788064297D-02
 1022  -0.5910021922D+01  0.1651756686D-02  -0.2785961759D-02
 1023  -0.5911005633D+01  0.1650734521D-02  -0.2783870689D-02
 1024  -0.5911990967D+01  0.1649716242D-02  -0.2781785770D-02
 1025  -0.5912972471D+01  0.1648697792D-02  -0.2779701855D-02
 1026  -0.5913950911D+01  0.1647679742D-02  -0.2777620100D-02
 1027  -0.5914926488D+01  0.1646662237D-02  -0.2775540642D-02
 1028  -0.5915898997D+01  0.1645645121D-02  -0.2773463327D-02
 1029  -0.5916868739D+01  0.1644628610D-02  -0.2771388363D-02
 1030  -0.5917835500D+01  0.1643612543D-02  -0.2769315588D-02
 1031  -0.5918799487D+01  0.1642597068D-02  -0.2767245143D-02
 1032  -0.5919760324D+01  0.1641581905D-02  -0.2765176753D-02
 1033  -0.5920718428D+01  0.1640567353D-02  -0.2763110706D-02
 1034  -0.5921673562D+01  0.1639553236D-02  -0.2761046826D-02
 1035  -0.5922625963D+01  0.1638539723D-02  -0.2758985275D-02
 1036  -0.5923575374D+01  0.1637526620D-02  -0.2756925863D-02
 1037  -0.5924522034D+01  0.1636514100D-02  -0.2754868750D-02
 1038  -0.5925465788D+01  0.1635502042D-02  -0.2752813821D-02
 1039  -0.5926406682D+01  0.1634490478D-02  -0.2750761099D-02
 1040  -0.5927344692D+01  0.1633479384D-02  -0.2748710561D-02
 1041  -0.5928279996D+01  0.1632468887D-02  -0.2746662325D-02
 1042  -0.5929212455D+01  0.1631458881D-02  -0.2744616286D-02
 1043  -0.5930141939D+01  0.1630449267D-02  -0.2742572343D-02
 1044  -0.5931068802D+01  0.1629440297D-02  -0.2740530740D-02
 1045  -0.5931992745D+01  0.1628431752D-02  -0.2738491260D-02
 1046  -0.5932913985D+01  0.1627423783D-02  -0.2736454044D-02
 1047  -0.5933832411D+01  0.1626416305D-02  -0.2734419011D-02
 1048  -0.5934747967D+01  0.1625409275D-02  -0.2732386113D-02
 1049  -0.5935660841D+01  0.1624402825D-02  -0.2730355474D-02
 1050  -0.5936570910D+01  0.1623396859D-02  -0.2728327000D-02
 1051  -0.5937478317D+01  0.1622391477D-02  -0.2726300785D-02
 1052  -0.5938382982D+01  0.1621386619D-02  -0.2724276765D-02
 1053  -0.5939284837D+01  0.1620382231D-02  -0.2722254886D-02
 1054  -0.5940183948D+01  0.1619378355D-02  -0.2720235187D-02
 1055  -0.5941080271D+01  0.1618374956D-02  -0.2718217629D-02
 1056  -0.5941973984D+01  0.1617372158D-02  -0.2716202330D-02
 1057  -0.5942864811D+01  0.1616369758D-02  -0.2714189090D-02
 1058  -0.5943753082D+01  0.1615367990D-02  -0.2712178132D-02
 1059  -0.5944638638D+01  0.1614366735D-02  -0.2710169337D-02
 1060  -0.5945521500D+01  0.1613366004D-02  -0.2708162714D-02
 1061  -0.5946401672D+01  0.1612365794D-02  -0.2706158257D-02
 1062  -0.5947279131D+01  0.1611366088D-02  -0.2704155945D-02
 1063  -0.5948153941D+01  0.1610366925D-02  -0.2702155814D-02
 1064  -0.5949026137D+01  0.1609368327D-02  -0.2700157881D-02
 1065  -0.5949895662D+01  0.1608370248D-02  -0.2698162100D-02
 1066  -0.5950762553D+01  0.1607372713D-02  -0.2696168489D-02
 1067  -0.5951626738D+01  0.1606375663D-02  -0.2694176992D-02
 1068  -0.5952488213D+01  0.1605379094D-02  -0.2692187599D-02
 1069  -0.5953347138D+01  0.1604383115D-02  -0.2690200414D-02
 1070  -0.5954203556D+01  0.1603387752D-02  -0.2688215458D-02
 1071  -0.5955057143D+01  0.1602392772D-02  -0.2686232503D-02
 1072  -0.5955908294D+01  0.1601398450D-02  -0.2684251811D-02
 1073  -0.5956756764D+01  0.1600404609D-02  -0.2682273210D-02
 1074  -0.5957602634D+01  0.1599411302D-02  -0.2680296747D-02
 1075  -0.5958445908D+01  0.1598418529D-02  -0.2678322416D-02
 1076  -0.5959286687D+01  0.1597426356D-02  -0.2676350282D-02
 1077  -0.5960124853D+01  0.1596434697D-02  -0.2674380256D-02
 1078  -0.5960960477D+01  0.1595443597D-02  -0.2672412380D-02
 1079  -0.5961793491D+01  0.1594453005D-02  -0.2670446602D-02
 1080  -0.5962623922D+01  0.1593462936D-02  -0.2668482933D-02
 1081  -0.5963451846D+01  0.1592473439D-02  -0.2666521416D-02
 1082  -0.5964277276D+01  0.1591484520D-02  -0.2664562055D-02
 1083  -0.5965100096D+01  0.1590496094D-02  -0.2662604765D-02
 1084  -0.5965920467D+01  0.1589508269D-02  -0.2660649648D-02
 1085  -0.5966738193D+01  0.1588520904D-02  -0.2658696563D-02
 1086  -0.5967553542D+01  0.1587534184D-02  -0.2656745686D-02
 1087  -0.5968366384D+01  0.1586548013D-02  -0.2654796922D-02
 1088  -0.5969176641D+01  0.1585562333D-02  -0.2652850213D-02
 1089  -0.5969984395D+01  0.1584577197D-02  -0.2650905606D-02
 1090  -0.5970789761D+01  0.1583592683D-02  -0.2648963171D-02
 1091  -0.5971592560D+01  0.1582608660D-02  -0.2647022784D-02
 1092  -0.5972392975D+01  0.1581625255D-02  -0.2645084560D-02
 1093  -0.5973190876D+01  0.1580642370D-02  -0.2643148405D-02
 1094  -0.5973986271D+01  0.1579660009D-02  -0.2641214317D-02
 1095  -0.5974779366D+01  0.1578678313D-02  -0.2639282428D-02
 1096  -0.5975569880D+01  0.1577697079D-02  -0.2637352544D-02
 1097  -0.5976358025D+01  0.1576716454D-02  -0.2635424799D-02
 1098  -0.5977143701D+01  0.1575736363D-02  -0.2633499121D-02
 1099  -0.5977926868D+01  0.1574756774D-02  -0.2631575475D-02
 1100  -0.5978707705D+01  0.1573777810D-02  -0.2629653976D-02
 1101  -0.5979486238D+01  0.1572799484D-02  -0.2627734634D-02
 1102  -0.5980262206D+01  0.1571821611D-02  -0.2625817268D-02
 1103  -0.5981035800D+01  0.1570844320D-02  -0.2623902000D-02
 1104  -0.5981807032D+01  0.1569867615D-02  -0.2621988830D-02
 1105  -0.5982575875D+01  0.1568891475D-02  -0.2620077735D-02
 1106  -0.5983342281D+01  0.1567915862D-02  -0.2618168676D-02
 1107  -0.5984106468D+01  0.1566940924D-02  -0.2616261791D-02
 1108  -0.5984868124D+01  0.1565966440D-02  -0.2614356868D-02
 1109  -0.5985627511D+01  0.1564992590D-02  -0.2612454073D-02
 1110  -0.5986384589D+01  0.1564019341D-02  -0.2610553373D-02
 1111  -0.5987139180D+01  0.1563046567D-02  -0.2608654646D-02
 1112  -0.5987891468D+01  0.1562074391D-02  -0.2606758005D-02
 1113  -0.5988641476D+01  0.1561102826D-02  -0.2604863459D-02
 1114  -0.5989389143D+01  0.1560131826D-02  -0.2602970963D-02
 1115  -0.5990134507D+01  0.1559161413D-02  -0.2601080534D-02
 1116  -0.5990877513D+01  0.1558191545D-02  -0.2599192131D-02
 1117  -0.5991618211D+01  0.1557222256D-02  -0.2597305781D-02
 1118  -0.5992356592D+01  0.1556253533D-02  -0.2595421469D-02
 1119  -0.5993092756D+01  0.1555285443D-02  -0.2593539258D-02
 1120  -0.5993826592D+01  0.1554317905D-02  -0.2591659066D-02
 1121  -0.5994558097D+01  0.1553350914D-02  -0.2589780887D-02
 1122  -0.5995287436D+01  0.1552384580D-02  -0.2587904822D-02
 1123  -0.5996014388D+01  0.1551418747D-02  -0.2586030720D-02
 1124  -0.5996739166D+01  0.1550453560D-02  -0.2584158714D-02
 1125  -0.5997461583D+01  0.1549488883D-02  -0.2582288677D-02
 1126  -0.5998181826D+01  0.1548524844D-02  -0.2580420723D-02
 1127  -0.5998899730D+01  0.1547561326D-02  -0.2578554741D-02
 1128  -0.5999615510D+01  0.1546598473D-02  -0.2576690862D-02
 1129  -0.6000329030D+01  0.1545636187D-02  -0.2574828992D-02
 1130  -0.6001040315D+01  0.1544674481D-02  -0.2572969142D-02
 1131  -0.6001749302D+01  0.1543713311D-02  -0.2571111266D-02
 1132  -0.6002456214D+01  0.1542752826D-02  -0.2569255500D-02
 1133  -0.6003160842D+01  0.1541792877D-02  -0.2567401705D-02
 1134  -0.6003863268D+01  0.1540833519D-02  -0.2565549927D-02
 1135  -0.6004563492D+01  0.1539874748D-02  -0.2563700160D-02
 1136  -0.6005261545D+01  0.1538916581D-02  -0.2561852418D-02
 1137  -0.6005957418D+01  0.1537959008D-02  -0.2560006689D-02
 1138  -0.6006651111D+01  0.1537002028D-02  -0.2558162968D-02
 1139  -0.6007342582D+01  0.1536045607D-02  -0.2556321221D-02
 1140  -0.6008031912D+01  0.1535089797D-02  -0.2554481495D-02
 1141  -0.6008719129D+01  0.1534134615D-02  -0.2552643801D-02
 1142  -0.6009404106D+01  0.1533179969D-02  -0.2550808053D-02
 1143  -0.6010087036D+01  0.1532225989D-02  -0.2548974367D-02
 1144  -0.6010767768D+01  0.1531272567D-02  -0.2547142641D-02
 1145  -0.6011446386D+01  0.1530319758D-02  -0.2545312924D-02
 1146  -0.6012122809D+01  0.1529367504D-02  -0.2543485157D-02
 1147  -0.6012797252D+01  0.1528415947D-02  -0.2541659472D-02
 1148  -0.6013469419D+01  0.1527464883D-02  -0.2539835675D-02
 1149  -0.6014139531D+01  0.1526514457D-02  -0.2538013900D-02
 1150  -0.6014807569D+01  0.1525564655D-02  -0.2536194129D-02
 1151  -0.6015473444D+01  0.1524615413D-02  -0.2534376301D-02
 1152  -0.6016137309D+01  0.1523666831D-02  -0.2532560506D-02
 1153  -0.6016799014D+01  0.1522718803D-02  -0.2530746644D-02
 1154  -0.6017458653D+01  0.1521771391D-02  -0.2528934768D-02
 1155  -0.6018116289D+01  0.1520824634D-02  -0.2527124913D-02
 1156  -0.6018771811D+01  0.1519878454D-02  -0.2525317002D-02
 1157  -0.6019425169D+01  0.1518932811D-02  -0.2523510999D-02
 1158  -0.6020076601D+01  0.1517987867D-02  -0.2521707048D-02
 1159  -0.6020725891D+01  0.1517043470D-02  -0.2519905008D-02
 1160  -0.6021373243D+01  0.1516099755D-02  -0.2518105001D-02
 1161  -0.6022018441D+01  0.1515156573D-02  -0.2516306886D-02
 1162  -0.6022661679D+01  0.1514214052D-02  -0.2514510778D-02
 1163  -0.6023302856D+01  0.1513272120D-02  -0.2512716610D-02
 1164  -0.6023941967D+01  0.1512330771D-02  -0.2510924371D-02
 1165  -0.6024579036D+01  0.1511390018D-02  -0.2509134072D-02
 1166  -0.6025214196D+01  0.1510449947D-02  -0.2507345790D-02
 1167  -0.6025847266D+01  0.1509510433D-02  -0.2505559406D-02
 1168  -0.6026478426D+01  0.1508571594D-02  -0.2503775027D-02
 1169  -0.6027107525D+01  0.1507633325D-02  -0.2501992554D-02
 1170  -0.6027734659D+01  0.1506695688D-02  -0.2500212040D-02
 1171  -0.6028359761D+01  0.1505758634D-02  -0.2498433438D-02
 1172  -0.6028982921D+01  0.1504822221D-02  -0.2496656801D-02
 1173  -0.6029604193D+01  0.1503886482D-02  -0.2494882153D-02
 1174  -0.6030223400D+01  0.1502951294D-02  -0.2493109381D-02
 1175  -0.6030840613D+01  0.1502016702D-02  -0.2491338524D-02
 1176  -0.6031455950D+01  0.1501082783D-02  -0.2489569647D-02
 1177  -0.6032069259D+01  0.1500149431D-02  -0.2487802654D-02
 1178  -0.6032680664D+01  0.1499216726D-02  -0.2486037614D-02
 1179  -0.6033290165D+01  0.1498284665D-02  -0.2484274522D-02
 1180  -0.6033897627D+01  0.1497353154D-02  -0.2482513289D-02
 1181  -0.6034503223D+01  0.1496422306D-02  -0.2480754017D-02
 1182  -0.6035106989D+01  0.1495492143D-02  -0.2478996723D-02
 1183  -0.6035708697D+01  0.1494562509D-02  -0.2477241260D-02
 1184  -0.6036308508D+01  0.1493633507D-02  -0.2475487723D-02
 1185  -0.6036906532D+01  0.1492705208D-02  -0.2473736173D-02
 1186  -0.6037502531D+01  0.1491777451D-02  -0.2471986459D-02
 1187  -0.6038096670D+01  0.1490850343D-02  -0.2470238677D-02
 1188  -0.6038688933D+01  0.1489923869D-02  -0.2468492813D-02
 1189  -0.6039279331D+01  0.1488998034D-02  -0.2466748866D-02
 1190  -0.6039867773D+01  0.1488072775D-02  -0.2465006777D-02
 1191  -0.6040454419D+01  0.1487148194D-02  -0.2463266638D-02
 1192  -0.6041039130D+01  0.1486224196D-02  -0.2461528358D-02
 1193  -0.6041622007D+01  0.1485300846D-02  -0.2459791995D-02
 1194  -0.6042203080D+01  0.1484378160D-02  -0.2458057560D-02
 1195  -0.6042782235D+01  0.1483456059D-02  -0.2456324980D-02
 1196  -0.6043359579D+01  0.1482534612D-02  -0.2454594314D-02
 1197  -0.6043935070D+01  0.1481613787D-02  -0.2452865532D-02
 1198  -0.6044508717D+01  0.1480693588D-02  -0.2451138634D-02
 1199  -0.6045080545D+01  0.1479774028D-02  -0.2449413629D-02
 1200  -0.6045650534D+01  0.1478855091D-02  -0.2447690501D-02
 1201  -0.6046218717D+01  0.1477936796D-02  -0.2445969265D-02
 1202  -0.6046785060D+01  0.1477019117D-02  -0.2444249893D-02
 1203  -0.6047349588D+01  0.1476102068D-02  -0.2442532398D-02
 1204  -0.6047912350D+01  0.1475185678D-02  -0.2440816803D-02
 1205  -0.6048473318D+01  0.1474269925D-02  -0.2439103085D-02
 1206  -0.6049032443D+01  0.1473354775D-02  -0.2437391210D-02
 1207  -0.6049589801D+01  0.1472440274D-02  -0.2435681220D-02
 1208  -0.6050145376D+01  0.1471526410D-02  -0.2433973099D-02
 1209  -0.6050699160D+01  0.1470613174D-02  -0.2432266838D-02
 1210  -0.6051251161D+01  0.1469700568D-02  -0.2430562435D-02
 1211  -0.6051801417D+01  0.1468788614D-02  -0.2428859910D-02
 1212  -0.6052349940D+01  0.1467877317D-02  -0.2427159263D-02
 1213  -0.6052896680D+01  0.1466966642D-02  -0.2425460459D-02
 1214  -0.6053441672D+01  0.1466056608D-02  -0.2423763515D-02
 1215  -0.6053984855D+01  0.1465147174D-02  -0.2422068390D-02
 1216  -0.6054526368D+01  0.1464238426D-02  -0.2420375162D-02
 1217  -0.6055066153D+01  0.1463330323D-02  -0.2418683790D-02
 1218  -0.6055604141D+01  0.1462422819D-02  -0.2416994229D-02
 1219  -0.6056140403D+01  0.1461515957D-02  -0.2415306516D-02
 1220  -0.6056674966D+01  0.1460609750D-02  -0.2413620661D-02
 1221  -0.6057207898D+01  0.1459704242D-02  -0.2411936702D-02
 1222  -0.6057738987D+01  0.1458799290D-02  -0.2410254507D-02
 1223  -0.6058268414D+01  0.1457895010D-02  -0.2408574177D-02
 1224  -0.6058796120D+01  0.1456991360D-02  -0.2406895674D-02
 1225  -0.6059322207D+01  0.1456088405D-02  -0.2405219053D-02
 1226  -0.6059846506D+01  0.1455186031D-02  -0.2403544208D-02
 1227  -0.6060369165D+01  0.1454284331D-02  -0.2401871223D-02
 1228  -0.6060890162D+01  0.1453383290D-02  -0.2400200081D-02
 1229  -0.6061409462D+01  0.1452482880D-02  -0.2398530755D-02
 1230  -0.6061927031D+01  0.1451583077D-02  -0.2396863220D-02
 1231  -0.6062443011D+01  0.1450683971D-02  -0.2395197556D-02
 1232  -0.6062957277D+01  0.1449785478D-02  -0.2393533682D-02
 1233  -0.6063469867D+01  0.1448887619D-02  -0.2391871619D-02
 1234  -0.6063980867D+01  0.1447990447D-02  -0.2390211410D-02
 1235  -0.6064490190D+01  0.1447093904D-02  -0.2388553001D-02
 1236  -0.6064997864D+01  0.1446198005D-02  -0.2386896401D-02
 1237  -0.6065503914D+01  0.1445302762D-02  -0.2385241623D-02
 1238  -0.6066008328D+01  0.1444408167D-02  -0.2383588654D-02
 1239  -0.6066511078D+01  0.1443514196D-02  -0.2381937472D-02
 1240  -0.6067012278D+01  0.1442620923D-02  -0.2380288139D-02
 1241  -0.6067511800D+01  0.1441728260D-02  -0.2378640577D-02
 1242  -0.6068009752D+01  0.1440836276D-02  -0.2376994843D-02
 1243  -0.6068506039D+01  0.1439944906D-02  -0.2375350877D-02
 1244  -0.6069000768D+01  0.1439054216D-02  -0.2373708737D-02
 1245  -0.6069493831D+01  0.1438164135D-02  -0.2372068355D-02
 1246  -0.6069985350D+01  0.1437274737D-02  -0.2370429798D-02
 1247  -0.6070475307D+01  0.1436386009D-02  -0.2368793050D-02
 1248  -0.6070963592D+01  0.1435497877D-02  -0.2367158043D-02
 1249  -0.6071450354D+01  0.1434610434D-02  -0.2365524860D-02
 1250  -0.6071935485D+01  0.1433723609D-02  -0.2363893431D-02
 1251  -0.6072419142D+01  0.1432837499D-02  -0.2362263844D-02
 1252  -0.6072901135D+01  0.1431951980D-02  -0.2360635984D-02
 1253  -0.6073381677D+01  0.1431067185D-02  -0.2359009970D-02
 1254  -0.6073860544D+01  0.1430182968D-02  -0.2357385667D-02
 1255  -0.6074337936D+01  0.1429299456D-02  -0.2355763187D-02
 1256  -0.6074813748D+01  0.1428416576D-02  -0.2354142464D-02
 1257  -0.6075287979D+01  0.1427534328D-02  -0.2352523493D-02
 1258  -0.6075760682D+01  0.1426652743D-02  -0.2350906300D-02
 1259  -0.6076231903D+01  0.1425771845D-02  -0.2349290908D-02
 1260  -0.6076701600D+01  0.1424891606D-02  -0.2347677286D-02
 1261  -0.6077169708D+01  0.1424011983D-02  -0.2346065395D-02
 1262  -0.6077636281D+01  0.1423133006D-02  -0.2344455259D-02
 1263  -0.6078101402D+01  0.1422254727D-02  -0.2342846922D-02
 1264  -0.6078564964D+01  0.1421377073D-02  -0.2341240318D-02
 1265  -0.6079027035D+01  0.1420500088D-02  -0.2339635482D-02
 1266  -0.6079487658D+01  0.1419623793D-02  -0.2338032434D-02
 1267  -0.6079946708D+01  0.1418748108D-02  -0.2336431096D-02
 1268  -0.6080404286D+01  0.1417873095D-02  -0.2334831525D-02
 1269  -0.6080860380D+01  0.1416998743D-02  -0.2333233707D-02
 1270  -0.6081314972D+01  0.1416125038D-02  -0.2331637628D-02
 1271  -0.6081768120D+01  0.1415252013D-02  -0.2330043316D-02
 1272  -0.6082219753D+01  0.1414379624D-02  -0.2328450727D-02
 1273  -0.6082669872D+01  0.1413507865D-02  -0.2326859857D-02
 1274  -0.6083118613D+01  0.1412636822D-02  -0.2325270778D-02
 1275  -0.6083565839D+01  0.1411766405D-02  -0.2323683409D-02
 1276  -0.6084011634D+01  0.1410896665D-02  -0.2322097793D-02
 1277  -0.6084455967D+01  0.1410027579D-02  -0.2320513908D-02
 1278  -0.6084898800D+01  0.1409159121D-02  -0.2318931727D-02
 1279  -0.6085340275D+01  0.1408291378D-02  -0.2317351327D-02
 1280  -0.6085780281D+01  0.1407424278D-02  -0.2315772642D-02
 1281  -0.6086218841D+01  0.1406557832D-02  -0.2314195677D-02
 1282  -0.6086655951D+01  0.1405692035D-02  -0.2312620428D-02
 1283  -0.6087091609D+01  0.1404826885D-02  -0.2311046890D-02
 1284  -0.6087525839D+01  0.1403962392D-02  -0.2309475071D-02
 1285  -0.6087958701D+01  0.1403098593D-02  -0.2307905001D-02
 1286  -0.6088390126D+01  0.1402235441D-02  -0.2306336636D-02
 1287  -0.6088820176D+01  0.1401372974D-02  -0.2304770008D-02
