The load Love numbers from the REAR package are attached. There are no 
more of these oscillations at high degree, and they go up to degree 32768.
November 20, 2015，Jean-Paul
CM: center of mass reference frame
    n     h' (vert)         l' (horiz)         k' (potent)
   88  -0.2923356052D+01  0.1028163423D-01  -0.1641136624D-01
   89  -0.2929228589D+01  0.1017995981D-01  -0.1623566621D-01
   90  -0.2935055359D+01  0.1008004270D-01  -0.1606362829D-01
   91  -0.2940837298D+01  0.9981812616D-02  -0.1589516941D-01
   92  -0.2946581895D+01  0.9885278604D-02  -0.1573023130D-01
   93  -0.2952291867D+01  0.9790389616D-02  -0.1556873269D-01
   94  -0.2957956745D+01  0.9697045241D-02  -0.1541044330D-01
   95  -0.2963595800D+01  0.9605295471D-02  -0.1525547679D-01
   96  -0.2969199273D+01  0.9515044421D-02  -0.1510360946D-01
   97  -0.2974774535D+01  0.9426263456D-02  -0.1495481224D-01
   98  -0.2980309676D+01  0.9339024495D-02  -0.1480889454D-01
   99  -0.2985825474D+01  0.9253105835D-02  -0.1466595311D-01
  100  -0.2991305419D+01  0.9168619236D-02  -0.1452571686D-01
  101  -0.2996767007D+01  0.9085438653D-02  -0.1438831722D-01
  102  -0.3002195783D+01  0.9003626988D-02  -0.1425347945D-01
  103  -0.3007604563D+01  0.8923047641D-02  -0.1412128824D-01
  104  -0.3012984157D+01  0.8843812852D-02  -0.1399155215D-01
  105  -0.3018343894D+01  0.8765768967D-02  -0.1386430043D-01
  106  -0.3023674123D+01  0.8689007511D-02  -0.1373934843D-01
  107  -0.3028997579D+01  0.8613282786D-02  -0.1361688839D-01
  108  -0.3034293829D+01  0.8538785071D-02  -0.1349661709D-01
  109  -0.3039568388D+01  0.8465425368D-02  -0.1337853240D-01
  110  -0.3044812729D+01  0.8393465668D-02  -0.1326247718D-01
  111  -0.3050063440D+01  0.8322064666D-02  -0.1314879330D-01
  112  -0.3055283667D+01  0.8251895568D-02  -0.1303701417D-01
  113  -0.3060491252D+01  0.8182851930D-02  -0.1292727472D-01
  114  -0.3065650295D+01  0.8115341261D-02  -0.1281916571D-01
  115  -0.3070880579D+01  0.8047182797D-02  -0.1271382547D-01
  116  -0.3076040892D+01  0.7981631515D-02  -0.1260977308D-01
  117  -0.3081197000D+01  0.7915680291D-02  -0.1250759345D-01
  118  -0.3086285673D+01  0.7852329445D-02  -0.1240674925D-01
  119  -0.3091404255D+01  0.7789102228D-02  -0.1230801326D-01
  120  -0.3096511619D+01  0.7726732300D-02  -0.1221098060D-01
  121  -0.3101600203D+01  0.7665280092D-02  -0.1211553143D-01
  122  -0.3106682865D+01  0.7604662048D-02  -0.1202174850D-01
  123  -0.3111753766D+01  0.7544904282D-02  -0.1192953483D-01
  124  -0.3116809189D+01  0.7485973848D-02  -0.1183881620D-01
  125  -0.3121858886D+01  0.7427878705D-02  -0.1174964381D-01
  126  -0.3126895783D+01  0.7370574826D-02  -0.1166191548D-01
  127  -0.3131922545D+01  0.7314066668D-02  -0.1157561754D-01
  128  -0.3136941665D+01  0.7258329639D-02  -0.1149074009D-01
  129  -0.3141951224D+01  0.7203345484D-02  -0.1140723078D-01
  130  -0.3146951844D+01  0.7149110126D-02  -0.1132506059D-01
  131  -0.3151945366D+01  0.7095590139D-02  -0.1124421587D-01
  132  -0.3156929548D+01  0.7042799912D-02  -0.1116464410D-01
  133  -0.3161906220D+01  0.6990691190D-02  -0.1108633131D-01
  134  -0.3166876242D+01  0.6939313182D-02  -0.1100925433D-01
  135  -0.3171838402D+01  0.6888590564D-02  -0.1093337652D-01
  136  -0.3176793912D+01  0.6838540254D-02  -0.1085867851D-01
  137  -0.3181742344D+01  0.6789149944D-02  -0.1078513058D-01
  138  -0.3186685982D+01  0.6740388093D-02  -0.1071272691D-01
  139  -0.3191619989D+01  0.6692254528D-02  -0.1064139970D-01
  140  -0.3196544436D+01  0.6644875810D-02  -0.1057112430D-01
  141  -0.3201476215D+01  0.6597887678D-02  -0.1050201662D-01
  142  -0.3206398870D+01  0.6551604887D-02  -0.1043391751D-01
  143  -0.3211309726D+01  0.6505913741D-02  -0.1036678606D-01
  144  -0.3216218750D+01  0.6460809494D-02  -0.1030067613D-01
  145  -0.3221143963D+01  0.6416316703D-02  -0.1023570018D-01
  146  -0.3226024231D+01  0.6372280032D-02  -0.1017138463D-01
  147  -0.3230916458D+01  0.6328854779D-02  -0.1010813017D-01
  148  -0.3235804118D+01  0.6286015001D-02  -0.1004579449D-01
  149  -0.3240693303D+01  0.6243639104D-02  -0.9984403321D-02
  150  -0.3245576769D+01  0.6201804170D-02  -0.9923883847D-02
  151  -0.3250456710D+01  0.6160485128D-02  -0.9864233697D-02
  152  -0.3255331682D+01  0.6119694670D-02  -0.9805424689D-02
  153  -0.3260200616D+01  0.6079393544D-02  -0.9747433125D-02
  154  -0.3265069874D+01  0.6039596444D-02  -0.9690286200D-02
  155  -0.3269935973D+01  0.6000268211D-02  -0.9633943357D-02
  156  -0.3274795133D+01  0.5961436692D-02  -0.9578361861D-02
  157  -0.3279668562D+01  0.5922949893D-02  -0.9523670962D-02
  158  -0.3284508407D+01  0.5885167521D-02  -0.9469529342D-02
  159  -0.3289361303D+01  0.5847694796D-02  -0.9416241125D-02
  160  -0.3294211798D+01  0.5810694239D-02  -0.9363684386D-02
  161  -0.3299058952D+01  0.5774133782D-02  -0.9311839490D-02
  162  -0.3303903943D+01  0.5737996159D-02  -0.9260700972D-02
  163  -0.3308745721D+01  0.5702310816D-02  -0.9210247323D-02
  164  -0.3313584370D+01  0.5667037520D-02  -0.9160467091D-02
  165  -0.3318424376D+01  0.5632157110D-02  -0.9111375894D-02
  166  -0.3323259296D+01  0.5597703355D-02  -0.9062920010D-02
  167  -0.3328090856D+01  0.5563674794D-02  -0.9015097800D-02
  168  -0.3332922705D+01  0.5529997716D-02  -0.8967921813D-02
  169  -0.3337752051D+01  0.5496747567D-02  -0.8921360801D-02
  170  -0.3342578431D+01  0.5463880772D-02  -0.8875401309D-02
  171  -0.3347403566D+01  0.5431401059D-02  -0.8830042575D-02
  172  -0.3352228804D+01  0.5399255217D-02  -0.8785283289D-02
  173  -0.3357021121D+01  0.5367680576D-02  -0.8740911973D-02
